4913
         35517645 function calls (35268577 primitive calls) in 31.088 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      121    0.000    0.000    0.000    0.000 pyparsing.py:2327(__init__)
        1    0.000    0.000    0.005    0.005 pyparsing.py:5377(pyparsing_common)
      372    0.000    0.000    0.000    0.000 __init__.py:189(bind_method)
       93    0.000    0.000    0.000    0.000 config.py:252(_verify_hook)
        1    0.000    0.000    0.036    0.036 requirements.py:4(<module>)
        2    0.000    0.000    0.001    0.000 function_base.py:1(<module>)
      489    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:825(get_filename)
       20    0.000    0.000    0.000    0.000 parse.py:392(urlsplit)
        1    0.000    0.000    0.000    0.000 rrule.py:7(<module>)
       56    0.000    0.000    0.000    0.000 config.py:993(_processopt)
       13    0.000    0.000    0.000    0.000 {built-in method pandas._libs.lib.list_to_object_array}
       52    0.000    0.000    0.000    0.000 re.py:249(escape)
       10    0.000    0.000    0.000    0.000 parsers.py:1157(__init__)
       29    0.000    0.000    0.000    0.000 getlimits.py:507(__init__)
       12    0.000    0.000    0.004    0.000 enum.py:602(_convert)
        1    0.000    0.000    0.000    0.000 numerictypes.py:301(_add_aliases)
       14    0.000    0.000    0.000    0.000 colors.py:142(_to_rgba_no_colorcycle)
       80    0.000    0.000    0.000    0.000 common.py:740(is_integer_dtype)
        3    0.000    0.000    0.000    0.000 numeric.py:367(extend_all)
      192    0.000    0.000    0.000    0.000 traceback.py:286(walk_stack)
        1    0.000    0.000    0.088    0.088 frame.py:10(<module>)
        1    0.000    0.000    0.000    0.000 offsets.py:2692(Tick)
        2    0.000    0.000    0.000    0.000 lazy.py:80(__new__)
        1    0.000    0.000    0.026    0.026 config_init.py:11(<module>)
      128    0.000    0.000    0.000    0.000 colors.py:98(_is_nth_color)
        1    0.000    0.000    0.002    0.002 markers.py:4(<module>)
       60    0.000    0.000    0.000    0.000 config.py:242(parse_hookspec_opts)
        9    0.000    0.000    0.000    0.000 enum.py:837(_decompose)
        1    0.000    0.000    0.001    0.001 test_numexpr.py:12(<module>)
        1    0.000    0.000    0.000    0.000 common.py:2(<module>)
       10    0.000    0.000    0.020    0.002 parsers.py:697(__init__)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
    21/11    0.000    0.000    0.001    0.000 generic.py:3067(__getattr__)
       10    0.000    0.000    0.000    0.000 base.py:1537(_engine)
      702    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      189    0.000    0.000    0.000    0.000 types.py:135(__get__)
       56    0.000    0.000    0.000    0.000 rcsetup.py:95(<listcomp>)
        9    0.000    0.000    0.000    0.000 base.py:178(_add_delegate_accessors)
       93    0.000    0.000    0.000    0.000 pluggy.py:472(_verify_hook)
       21    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       51    0.000    0.000    0.000    0.000 _internal.py:703(_ufunc_doc_signature_formatter)
       10    0.000    0.000    0.000    0.000 internals.py:3612(iget)
        1    0.000    0.000    0.000    0.000 core.py:2731(MaskedArray)
        1    0.000    0.000    0.223    0.223 __init__.py:3138(_initialize_master_working_set)
       37    0.000    0.000    0.000    0.000 deprecation.py:22(_generate_deprecation_message)
      207    0.000    0.000    0.000    0.000 enum.py:36(_is_sunder)
       34    0.000    0.000    0.000    0.000 base.py:208(_create_delegator_method)
       16    0.000    0.000    0.000    0.000 enum.py:462(_find_new_)
      182    0.000    0.000    0.000    0.000 __init__.py:422(<genexpr>)
        1    0.000    0.000    0.002    0.002 pytables.py:4(<module>)
       64    0.000    0.000    0.000    0.000 codecs.py:308(__init__)
       10    0.000    0.000    0.000    0.000 {built-in method winreg.OpenKey}
        1    0.000    0.000    0.001    0.001 groupby.py:950(GroupBy)
      186    0.000    0.000    0.000    0.000 __init__.py:1002(_added_new)
        1    0.000    0.000    0.057    0.057 series.py:3(<module>)
      268    0.000    0.000    0.000    0.000 pyparsing.py:3229(<genexpr>)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:927(exec_module)
      144    0.000    0.000    0.000    0.000 linecache.py:147(lazycache)
       56    0.000    0.000    0.001    0.000 rcsetup.py:74(f)
       43    0.000    0.000    0.001    0.000 core.py:143(get_object_signature)
        7    0.000    0.000    0.031    0.004 api.py:3(<module>)
        7    0.000    0.000    0.002    0.000 ops.py:170(add_special_arithmetic_methods)
        1    0.000    0.000    0.001    0.001 _core.py:3(<module>)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1125(_parse_octet)
       16    0.000    0.000    0.001    0.000 generic.py:6367(_make_cum_function)
      291    0.000    0.000    0.000    0.000 __init__.py:781(<genexpr>)
      203    0.000    0.000    0.000    0.000 inspect.py:73(isclass)
        7    0.000    0.000    0.068    0.010 __init__.py:3(<module>)
       20    0.000    0.000    0.000    0.000 {built-in method pandas._libs.lib.infer_datetimelike_array}
        1    0.000    0.000    0.000    0.000 opcode.py:37(<listcomp>)
        1    0.000    0.000    0.003    0.003 offsets.py:1(<module>)
       27    0.000    0.000    0.000    0.000 core.py:940(__init__)
      182    0.000    0.000    0.000    0.000 __init__.py:420(<genexpr>)
        3    0.000    0.000    0.000    0.000 tokenize.py:137(_all_string_prefixes)
        1    0.000    0.000    0.000    0.000 common.py:122(PathBase)
       48    0.000    0.000    0.001    0.000 pluggy.py:333(<lambda>)
       26    0.000    0.000    0.000    0.000 numerictypes.py:229(bitname)
        1    0.000    0.000    0.307    0.307 expressions.py:11(<module>)
        1    0.000    0.000    0.003    0.003 parse.py:28(<module>)
       93    0.000    0.000    0.000    0.000 pluggy.py:163(normalize_hookimpl_opts)
        1    0.000    0.000    0.002    0.002 fixtures.py:1(<module>)
        5    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
      165    0.000    0.000    0.000    0.000 six.py:184(find_module)
        1    0.000    0.000    0.001    0.001 multi.py:51(MultiIndex)
       20    0.000    0.000    0.000    0.000 parse.py:359(urlparse)
       20    0.000    0.000    0.000    0.000 nosetester.py:152(__init__)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
      191    0.000    0.000    0.000    0.000 _decorators.py:129(__init__)
        4    0.000    0.000    0.000    0.000 generic.py:214(_setup_axes)
    22/10    0.000    0.000    0.001    0.000 pyparsing.py:3525(parseImpl)
      144    0.000    0.000    0.000    0.000 traceback.py:239(__init__)
     20/8    0.000    0.000    0.001    0.000 pyparsing.py:3506(parseImpl)
       33    0.000    0.000    0.000    0.000 {method 'intersection' of 'set' objects}
        1    0.000    0.000    0.002    0.002 common.py:3(<module>)
       49    0.000    0.000    0.001    0.000 pyparsing.py:1907(__or__)
       33    0.000    0.000    0.000    0.000 pyparsing.py:2791(parseImpl)
       21    0.000    0.000    0.000    0.000 datetimes.py:62(_field_accessor)
        1    0.000    0.000    0.000    0.000 scope.py:3(<module>)
      489    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:669(create_module)
       46    0.000    0.000    0.001    0.000 config.py:720(inner)
       11    0.000    0.000    0.000    0.000 series.py:139(__init__)
        1    0.000    0.000    0.000    0.000 moments.py:4(<module>)
        1    0.000    0.000    0.005    0.005 pathlib.py:1(<module>)
        2    0.000    0.000    0.003    0.002 __init__.py:9(<module>)
       26    0.000    0.000    0.000    0.000 core.py:6498(getdoc)
       12    0.000    0.000    0.000    0.000 ops.py:1293(_comp_method_FRAME)
       99    0.000    0.000    0.000    0.000 enum.py:872(_power_of_two)
        1    0.000    0.000    0.019    0.019 workbook.py:9(<module>)
        1    0.000    0.000    0.008    0.008 algorithms.py:4(<module>)
      103    0.000    0.000    0.000    0.000 six.py:177(_add_module)
      178    0.000    0.000    0.000    0.000 __init__.py:3042(_always_object)
        1    0.000    0.000    0.000    0.000 _xmlgen.py:76(<listcomp>)
       39    0.000    0.000    0.000    0.000 sre_parse.py:257(getwhile)
       84    0.000    0.000    0.000    0.000 pyparsing.py:2346(__init__)
        1    0.000    0.000    0.003    0.003 pdb.py:66(<module>)
        1    0.000    0.000    0.008    0.008 ssl.py:91(<module>)
       99    0.000    0.000    0.000    0.000 ipaddress.py:1883(__init__)
        1    0.000    0.000    0.000    0.000 colors.py:64(__init__)
        1    0.000    0.000    0.000    0.000 _datasource.py:35(<module>)
       55    0.000    0.000    0.000    0.000 __init__.py:23(find_module)
       75    0.000    0.000    0.000    0.000 __init__.py:255(set_function_name)
        1    0.000    0.000    0.001    0.001 window.py:1057(Rolling)
       79    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       89    0.000    0.000    0.000    0.000 pyparsing.py:186(__init__)
       30    0.000    0.000    0.000    0.000 pyparsing.py:2701(__str__)
        1    0.000    0.000    0.003    0.003 request.py:68(<module>)
        1    0.000    0.000    0.322    0.322 ops.py:5(<module>)
        1    0.000    0.000    0.001    0.001 window.py:1321(Expanding)
        1    0.000    0.000    0.008    0.008 nanops.py:1(<module>)
       56    0.000    0.000    0.000    0.000 config.py:770(_addoption_instance)
       60    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        1    0.000    0.000    0.000    0.000 contenttypes.py:29(ContentTypes)
      137    0.000    0.000    0.000    0.000 expr.py:145(<lambda>)
        1    0.000    0.000    0.004    0.004 socket.py:47(<module>)
        2    0.000    0.000    0.003    0.001 code.py:1(<module>)
      136    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       58    0.000    0.000    0.000    0.000 colors.py:119(to_rgba)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
       20    0.000    0.000    0.000    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
        1    0.000    0.000    0.004    0.004 __init__.py:41(<module>)
        1    0.000    0.000    0.003    0.003 internals.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
        1    0.000    0.000    0.005    0.005 inspect.py:27(<module>)
     10/2    0.000    0.000    0.001    0.000 pyparsing.py:3356(parseImpl)
       24    0.000    0.000    0.000    0.000 contextlib.py:129(contextmanager)
        2    0.000    0.000    0.000    0.000 textwrap.py:233(_wrap_chunks)
        1    0.000    0.000    0.002    0.002 colors.py:45(<module>)
      260    0.000    0.000    0.000    0.000 six.py:88(__init__)
       61    0.000    0.000    0.002    0.000 pyparsing.py:3251(<listcomp>)
       98    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
      105    0.000    0.000    0.000    0.000 pyparsing.py:2112(__str__)
      143    0.000    0.000    0.000    0.000 inspect.py:159(isfunction)
        1    0.000    0.000    0.000    0.000 datetimes.py:2(<module>)
        1    0.000    0.000    0.043    0.043 _converter.py:1(<module>)
      291    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
      112    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        2    0.000    0.000    0.022    0.011 __init__.py:45(<module>)
        1    0.000    0.000    0.018    0.018 generic.py:2(<module>)
        2    0.000    0.000    0.003    0.002 linecache.py:82(updatecache)
      178    0.000    0.000    0.000    0.000 inspect.py:479(getmro)
      124    0.000    0.000    0.000    0.000 pyparsing.py:2131(__str__)
      170    0.000    0.000    0.000    0.000 pyparsing.py:2020(setWhitespaceChars)
       93    0.000    0.000    0.001    0.000 pluggy.py:765(_maybe_apply_history)
       23    0.000    0.000    0.000    0.000 sre_compile.py:393(_generate_overlap_table)
        4    0.000    0.000    0.000    0.000 base.py:3847(_add_numeric_methods_binary)
       58    0.000    0.000    0.002    0.000 pyparsing.py:3270(<listcomp>)
       35    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
      256    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      167    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
       10    0.000    0.000    0.001    0.000 generic.py:1640(_get_item_cache)
       60    0.000    0.000    0.000    0.000 internals.py:4194(dtype)
        1    0.000    0.000    0.001    0.001 panel.py:108(Panel)
        1    0.000    0.000    0.000    0.000 quoprimime.py:27(<module>)
        1    0.000    0.000    0.000    0.000 period.py:125(PeriodIndex)
       86    0.000    0.000    0.000    0.000 pyparsing.py:3417(<genexpr>)
        1    0.000    0.000    0.004    0.004 packers.py:39(<module>)
       31    0.000    0.000    0.000    0.000 copyreg.py:96(_slotnames)
       57    0.000    0.000    0.000    0.000 __init__.py:19(__new__)
        1    0.000    0.000    0.329    0.329 base.py:1(<module>)
      168    0.000    0.000    0.000    0.000 pyparsing.py:3248(<genexpr>)
        1    0.000    0.000    0.000    0.000 expr.py:697(PythonExprVisitor)
        1    0.000    0.000    0.010    0.010 format.py:5(<module>)
      254    0.000    0.000    0.000    0.000 config.py:686(names)
       89    0.000    0.000    0.000    0.000 six.py:105(__init__)
       43    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
        2    0.000    0.000    0.005    0.003 main.py:1(<module>)
        1    0.000    0.000    0.003    0.003 random.py:38(<module>)
       62    0.000    0.000    0.000    0.000 __init__.py:1886(_warn_on_replacement)
       28    0.000    0.000    0.000    0.000 pyparsing.py:2720(__str__)
        1    0.000    0.000    0.000    0.000 selectors.py:205(_BaseSelectorImpl)
       30    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       75    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
        1    0.000    0.000    0.011    0.011 utils.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1035(<listcomp>)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:1078(<listcomp>)
       25    0.000    0.000    0.000    0.000 rcsetup.py:62(<dictcomp>)
     39/1    0.000    0.000    0.000    0.000 copy.py:132(deepcopy)
        1    0.000    0.000    0.004    0.004 worksheet.py:9(<module>)
       16    0.000    0.000    0.000    0.000 enum.py:114(__prepare__)
       14    0.000    0.000    0.000    0.000 sre_compile.py:381(_bytes_to_codes)
        1    0.000    0.000    0.046    0.046 __init__.py:26(<module>)
      168    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
       20    0.000    0.000    0.000    0.000 series.py:44(_arith_method)
      186    0.000    0.000    0.000    0.000 pluggy.py:710(is_historic)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
       40    0.000    0.000    0.000    0.000 parse.py:109(_coerce_args)
       24    0.000    0.000    0.000    0.000 os.py:664(__getitem__)
        1    0.000    0.000    0.001    0.001 category.py:30(CategoricalIndex)
        1    0.000    0.000    0.000    0.000 pyparsing.py:4204(TokenConverter)
       24    0.000    0.000    0.000    0.000 pyparsing.py:2772(parseImpl)
      170    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
        5    0.000    0.000    0.000    0.000 base.py:3761(_add_numeric_methods_disabled)
      143    0.000    0.000    0.000    0.000 pluggy.py:696(has_spec)
        9    0.000    0.000    0.000    0.000 enum.py:765(_create_pseudo_member_)
        1    0.000    0.000    0.005    0.005 shutil.py:5(<module>)
       18    0.000    0.000    0.000    0.000 core.py:1021(__init__)
        1    0.000    0.000    0.000    0.000 datetimes.py:164(DatetimeIndex)
        1    0.000    0.000    0.483    0.483 api.py:5(<module>)
        1    0.000    0.000    0.001    0.001 resample.py:1(<module>)
       10    0.000    0.000    0.000    0.000 parsers.py:1302(_maybe_dedup_names)
        1    0.000    0.000    0.000    0.000 pytables.py:2170(DataIndexableCol)
       60    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       16    0.000    0.000    0.000    0.000 enum.py:135(<dictcomp>)
       23    0.000    0.000    0.000    0.000 numerictypes.py:216(_evalname)
        1    0.000    0.000    0.000    0.000 numerictypes.py:285(_add_types)
    36/11    0.000    0.000    0.004    0.000 pyparsing.py:3702(leaveWhitespace)
       20    0.000    0.000    0.000    0.000 pyparsing.py:2685(parseImpl)
        1    0.000    0.000    0.000    0.000 categorical.py:170(Categorical)
        1    0.000    0.000    0.000    0.000 request.py:2363(ftpwrapper)
      169    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
        1    0.000    0.000    0.000    0.000 wintypes.py:143(WIN32_FIND_DATAA)
       50    0.000    0.000    0.000    0.000 pluggy.py:687(__init__)
        1    0.000    0.000    0.000    0.000 pathlib.py:107(_WindowsFlavour)
    33/10    0.000    0.000    0.004    0.000 pyparsing.py:3721(leaveWhitespace)
        1    0.000    0.000    0.002    0.002 pyparsing.py:4834(_makeTags)
       70    0.000    0.000    0.001    0.000 colors.py:104(is_color_like)
        1    0.000    0.000    0.000    0.000 {built-in method nt.scandir}
       26    0.000    0.000    0.000    0.000 pyparsing.py:640(__iadd__)
       12    0.000    0.000    0.000    0.000 generic.py:6347(_make_stat_function_ddof)
       10    0.000    0.000    0.001    0.000 frame.py:1940(__getitem__)
       10    0.000    0.000    0.000    0.000 common.py:167(get_filepath_or_buffer)
       27    0.000    0.000    0.000    0.000 deprecation.py:197(finalize)
       20    0.000    0.000    0.000    0.000 parsers.py:1322(_maybe_make_multi_index_columns)
       30    0.000    0.000    0.000    0.000 getlimits.py:26(_fr1)
        1    0.000    0.000    0.002    0.002 excel.py:3(<module>)
        1    0.000    0.000    0.000    0.000 python.py:1(<module>)
       40    0.000    0.000    0.000    0.000 pyparsing.py:1046(wrapper)
      105    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       19    0.000    0.000    0.000    0.000 nosetester.py:518(_numpy_tester)
        1    0.000    0.000    0.002    0.002 groupby.py:2806(SeriesGroupBy)
        1    0.000    0.000    0.001    0.001 series.py:88(SparseSeries)
        1    0.000    0.000    0.000    0.000 interval.py:95(IntervalIndex)
        1    0.000    0.000    0.008    0.008 config.py:1(<module>)
       12    0.000    0.000    0.000    0.000 glob.py:114(_iterdir)
      137    0.000    0.000    0.000    0.000 pyparsing.py:2039(setWhitespaceChars)
        1    0.000    0.000    0.015    0.015 _internal.py:6(<module>)
       23    0.000    0.000    0.000    0.000 config.py:766(_addoption)
        2    0.000    0.000    0.008    0.004 __init__.py:10(<module>)
       68    0.000    0.000    0.000    0.000 ipaddress.py:1251(__init__)
        1    0.000    0.000    0.001    0.001 stata.py:11(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:181(<listcomp>)
        1    0.000    0.000    0.000    0.000 worksheet.py:146(Worksheet)
        8    0.000    0.000    0.000    0.000 generic.py:6402(_make_logical_function)
        1    0.000    0.000    0.000    0.000 __init__.py:772(RcParams)
        1    0.000    0.000    0.000    0.000 numerictypes.py:120(<listcomp>)
       10    0.000    0.000    0.000    0.000 internals.py:3583(get)
    34/26    0.000    0.000    0.000    0.000 pyparsing.py:3412(__str__)
        1    0.000    0.000    0.003    0.003 panel.py:3(<module>)
        1    0.000    0.000    0.002    0.002 pickle.py:24(<module>)
       61    0.000    0.000    0.000    0.000 pyparsing.py:388(__getitem__)
       11    0.000    0.000    0.000    0.000 series.py:284(_set_axis)
        1    0.000    0.000    0.001    0.001 pyparsing.py:4853(_makeTags)
       28    0.000    0.000    0.000    0.000 pluggy.py:151(setattr_hookimpl_opts)
      173    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.027    0.027 client.py:69(<module>)
        1    0.000    0.000    0.004    0.004 packager.py:9(<module>)
        1    0.000    0.000    0.002    0.002 hookspec.py:1(<module>)
        2    0.000    0.000    0.002    0.001 runner.py:1(<module>)
        1    0.000    0.000    0.003    0.003 config.py:49(<module>)
       20    0.000    0.000    0.000    0.000 pyparsing.py:2666(parseImpl)
       27    0.000    0.000    0.000    0.000 offsets.py:51(apply_wraps)
        1    0.000    0.000    0.006    0.006 reshape.py:3(<module>)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
      378    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.001    0.001 tarfile.py:30(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 wintypes.py:155(WIN32_FIND_DATAW)
        2    0.000    0.000    0.000    0.000 missing.py:3(<module>)
        1    0.000    0.000    0.000    0.000 function.py:19(<module>)
       52    0.000    0.000    0.000    0.000 expressions.py:87(ophelper)
      195    0.000    0.000    0.000    0.000 pyparsing.py:3351(<genexpr>)
       11    0.000    0.000    0.002    0.000 internals.py:4427(_simple_blockify)
        1    0.000    0.000    0.002    0.002 fontconfig_pattern.py:77(__init__)
        1    0.000    0.000    0.001    0.001 ops.py:2(<module>)
        1    0.000    0.000    0.000    0.000 merge.py:3(<module>)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
        1    0.000    0.000    0.005    0.005 cast.py:1(<module>)
       18    0.000    0.000    0.000    0.000 _decorators.py:64(_deprecate_kwarg)
        1    0.000    0.000    0.002    0.002 period.py:2(<module>)
       10    0.000    0.000    0.000    0.000 common.py:238(_infer_compression)
       70    0.000    0.000    0.000    0.000 rcsetup.py:64(__call__)
       60    0.000    0.000    0.000    0.000 pluggy.py:439(parse_hookspec_opts)
      158    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
    12/11    0.000    0.000    0.035    0.003 <frozen importlib._bootstrap>:622(_load_backward_compatible)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:908(__init__)
       47    0.000    0.000    0.000    0.000 ipaddress.py:158(_split_optional_netmask)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
        9    0.000    0.000    0.000    0.000 moments.py:457(_rolling_func)
        7    0.000    0.000    0.000    0.000 parser.py:298(_convert)
       15    0.000    0.000    0.000    0.000 pyparsing.py:4524(_escapeRegexRangeChars)
       11    0.000    0.000    0.000    0.000 internals.py:4078(__init__)
       48    0.000    0.000    0.000    0.000 pluggy.py:592(__init__)
       18    0.000    0.000    0.000    0.000 ops.py:1352(_comp_method_PANEL)
       60    0.000    0.000    0.000    0.000 series.py:331(dtype)
       65    0.000    0.000    0.000    0.000 codecs.py:259(__init__)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
        1    0.000    0.000    0.320    0.320 __init__.py:22(<module>)
       22    0.000    0.000    0.000    0.000 __init__.py:1951(find_distributions)
       10    0.000    0.000    0.000    0.000 common.py:96(_is_url)
        1    0.000    0.000    0.001    0.001 panelnd.py:8(create_nd_panel_factory)
        1    0.000    0.000    0.000    0.000 rewrite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 offsets.py:2807(Day)
       17    0.000    0.000    0.000    0.000 pyparsing.py:3518(__init__)
       97    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       12    0.000    0.000    0.000    0.000 ctypeslib.py:330(prep_simple)
       28    0.000    0.000    0.000    0.000 pyparsing.py:3956(__init__)
        2    0.000    0.000    0.000    0.000 lazy.py:135(__new__)
        1    0.000    0.000    0.000    0.000 timedeltas.py:83(TimedeltaIndex)
        1    0.000    0.000    0.009    0.009 timedeltas.py:1(<module>)
        1    0.000    0.000    0.004    0.004 window.py:7(<module>)
        2    0.000    0.000    0.000    0.000 tokenize.py:448(open)
        1    0.000    0.000    0.008    0.008 case.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chart.py:21(Chart)
        1    0.000    0.000    0.004    0.004 plistlib.py:47(<module>)
      281    0.000    0.000    0.000    0.000 pyparsing.py:2615(<genexpr>)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:728(create_module)
        1    0.000    0.000    0.002    0.002 __init__.py:88(<module>)
        1    0.000    0.000    0.001    0.001 wintypes.py:2(<module>)
       62    0.000    0.000    0.000    0.000 __init__.py:1871(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method nt.access}
        1    0.000    0.000    0.004    0.004 index_tricks.py:1(<module>)
       98    0.000    0.000    0.000    0.000 inspect.py:81(ismethod)
        1    0.000    0.000    0.001    0.001 multi.py:3(<module>)
       10    0.000    0.000    0.000    0.000 parsers.py:1690(_set_noconvert_columns)
       29    0.000    0.000    0.000    0.000 pluggy.py:747(call_historic)
        4    0.000    0.000    0.000    0.000 util.py:1(<module>)
        1    0.000    0.000    0.014    0.014 categorical.py:3(<module>)
        2    0.000    0.000    0.000    0.000 pyparsing.py:1080(ParserElement)
       10    0.000    0.000    0.000    0.000 frame.py:2305(_box_item_values)
      281    0.000    0.000    0.000    0.000 pyparsing.py:2634(<genexpr>)
       56    0.000    0.000    0.000    0.000 config.py:495(processoption)
       23    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        1    0.000    0.000    0.001    0.001 arrayprint.py:5(<module>)
      166    0.000    0.000    0.000    0.000 ipaddress.py:417(_check_int_address)
        1    0.000    0.000    0.000    0.000 base.py:781(IndexOpsMixin)
       22    0.000    0.000    0.000    0.000 ntpath.py:538(abspath)
      180    0.000    0.000    0.000    0.000 enum.py:592(name)
       14    0.000    0.000    0.000    0.000 six.py:91(__get__)
       31    0.000    0.000    0.000    0.000 frame.py:372(<genexpr>)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
       21    0.000    0.000    0.000    0.000 {built-in method nt._getfullpathname}
       26    0.000    0.000    0.000    0.000 ntpath.py:43(normcase)
        8    0.000    0.000    0.000    0.000 base.py:3956(_make_logical_function)
        1    0.000    0.000    0.001    0.001 strings.py:1(<module>)
        2    0.000    0.000    0.006    0.003 generic.py:6180(_add_series_or_dataframe_operations)
       25    0.000    0.000    0.000    0.000 config.py:461(_get_plugin_specs_as_list)
      190    0.000    0.000    0.000    0.000 pyparsing.py:180(<genexpr>)
        1    0.000    0.000    0.000    0.000 resample.py:33(Resampler)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 offsets.py:2812(Hour)
      102    0.000    0.000    0.000    0.000 pyparsing.py:2137(streamline)
       38    0.000    0.000    0.000    0.000 pyparsing.py:4189(__init__)
        1    0.000    0.000    0.002    0.002 array.py:3(<module>)
        4    0.000    0.000    0.327    0.082 __init__.py:2(<module>)
      118    0.000    0.000    0.000    0.000 opcode.py:39(def_op)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1613(_make_netmask)
        1    0.000    0.000    0.002    0.002 tz.py:9(<module>)
       13    0.000    0.000    0.000    0.000 pyparsing.py:3759(__str__)
      138    0.000    0.000    0.000    0.000 expr.py:147(<genexpr>)
       81    0.000    0.000    0.000    0.000 enum.py:820(_high_bit)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
       10    0.000    0.000    0.000    0.000 frame.py:2312(_box_col_values)
        1    0.000    0.000    0.002    0.002 series.py:4(<module>)
       19    0.000    0.000    0.000    0.000 version.py:331(_cmp)
        1    0.000    0.000    0.000    0.000 encoder.py:2(<module>)
        2    0.000    0.000    0.007    0.003 __init__.py:8(<module>)
        1    0.000    0.000    0.001    0.001 sysconfig.py:10(<module>)
       25    0.000    0.000    0.000    0.000 pyparsing.py:3975(__init__)
        1    0.000    0.000    0.043    0.043 pytest.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _xmlgen.py:6(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
        1    0.000    0.000    0.000    0.000 offsets.py:2817(Minute)
       10    0.000    0.000    0.000    0.000 series.py:257(from_array)
     23/7    0.000    0.000    0.000    0.000 pyparsing.py:3740(streamline)
        1    0.000    0.000    0.002    0.002 frame.py:4(<module>)
      108    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
       10    0.000    0.000    0.000    0.000 pathlib.py:384(_wrap_strfunc)
        1    0.000    0.000    0.000    0.000 zipfile.py:5(<module>)
        1    0.000    0.000    0.001    0.001 groupby.py:3965(DataFrameGroupBy)
        1    0.000    0.000    0.000    0.000 {built-in method win32api.RegOpenKey}
